identifier,n_code,Source,c_custodian,Topics,Keywords,Title,AltTitle,Abstract,Lineage,Exclue,SME_Reviewed,lvl1-001,lvl2-001,lvl3-001,lvl3-002,lvl3-003,lvl3-004,lvl3-005,lvl3-006,lvl3-007,lvl3-008,lvl3-009,lvl3-010,lvl3-011,lvl3-012,lvl3-013,lvl3-014,lvl3-015,lvl3-016,lvl3-017,lvl2-002,lvl3-018,lvl3-019,lvl3-020,lvl3-021,lvl2-003,lvl3-022,lvl3-023,lvl3-024,lvl3-025,lvl3-026,lvl3-027,lvl3-028,lvl3-029,lvl3-030,lvl3-031,lvl3-032,lvl3-033,lvl3-034,lvl3-200,lvl3-201,lvl2-004,lvl3-035,lvl3-036,lvl3-037,lvl3-038,lvl3-039,lvl3-040,lvl3-041,lvl3-042,lvl2-005,lvl3-043,lvl3-044,lvl3-045,lvl3-046,lvl3-047,lvl3-048,lvl1-002,lvl2-006,lvl3-049,lvl3-050,lvl3-051,lvl3-052,lvl2-007,lvl3-053,lvl3-054,lvl3-055,lvl3-056,lvl2-008,lvl3-057,lvl3-058,lvl3-059,lvl1-003,lvl2-009,lvl2-010,lvl1-004,lvl2-011,lvl3-060,lvl3-061,lvl3-062,lvl3-063,lvl3-064,lvl3-065,lvl2-012,lvl3-067,lvl3-068,lvl3-069,lvl3-070,lvl3-071,lvl3-072,lvl3-073,lvl3-074,lvl3-075,lvl2-013,lvl3-066,lvl3-076,lvl3-077,lvl3-078,lvl3-079,lvl3-080,lvl3-081,lvl3-082,lvl3-083,lvl2-014,lvl3-084,lvl3-085,lvl3-086,lvl3-087,lvl3-088,lvl3-089,lvl2-015,lvl3-090,lvl3-091,lvl3-092,lvl3-093,lvl3-094,lvl3-095,lvl3-096,lvl3-097,lvl3-098,lvl3-099,lvl3-100,lvl3-101,lvl3-102,lvl3-103,lvl3-104,lvl3-105,lvl3-106,lvl3-107,lvl3-108,lvl2-016,lvl3-109,lvl3-110,lvl3-111,lvl3-112,lvl3-113,lvl3-114,lvl3-115
5531a3e5-5652-4e13-aa7f-4374e1be8765,6853,EA Sample,Natural England,,"OpenData, NEbatch3, Habitats and biotopes",2012 Natural England/JNCC Fal and Helford SAC kelp forest condition assessment and maerl studies,,"Survey name: 2012 Natural England/JNCC Fal and Helford SAC kelp forest condition assessment and maerl studies This is a collation of surveys to gather data and evidence from a variety of marine environments. The survey purposes vary and include recommended Marine Conservation Zone (rMCZ) Phase I or II verification surveys, condition assessments, surveys of features of Natura 2000 sites (Special Area of Conservation, Special Protection Area), Intertidal surveys, Benthic grab surveys and others. All surveys are carried out to specified standards and follow established methodologies.  Attribution statement: © Natural England copyright. Contains Ordnance Survey data © Crown copyright and database right [year].","""""Natural England commissioned the JNCC dive team to undertake ecological survey work during the summer of 2012 in order to obtain standardised biological information for the kelp forest habitats and communities of the Fal and Helford SAC. This was to assess the condition of the kelp forest sub-feature against previous survey data.  In addition Natural England requested that findings relating to the maerl bed communities in the Helford be reported.  Techniques include Phase 2 surveys at all sites studies, quadrat based studies of kelp populations and epiflora associated with the kelp forest floor.""""",Y,Exclude - marine,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d096ce4f1877c13c324e87387c890188,5186,MEDIN Sample,Data Archive for Seabed Species and Habitats (DASSH),biota,,2012 Plymouth University Fowey Harbour Diver and Remotely Operated Underwater Vehicle (ROV) survey of seagrass beds,,"An ROV and diver survey undertaken by the University of Plymouth and Fowey Harbour Commissioners, of the seagrass beds of the River Fowey, to determine percentage cover and species presence.",This data was transformed into MEDIN format from an excel spreadsheet submitted to DASSH.,Y,Exclude - marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88cf5e5624fb3648bbe148e5f02d09ad,4084,MEDIN Sample,"Scottish Natural Heritage (SNH), Headquaters","biota,biota",,"2012 SNH Site Condition Monitoring survey of An Grianan lagoon - Ulva, Danna and the McCormaig Isles SSSI",,"Intertidal sediment infauna and epibiota species abundance data and associated habitat descriptors from a baseline survey of An Grianan lagoon, within the Ulva, Danna and the McCormaig Isles SSSI. The main aims of the survey were to search for lagoon specialist species, to check the condition of the lagoon barrier, and to provide sufficient information for site condition assessment. Some baseline data were also collected for future site condition monitoring.",This dataset was collected by Aquatic Survey and Monitoring Ltd. and supplied to Scottish Natural Heritage under contract.,Y,Exclude - marine,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd86591b-76b5-335b-e044-0003ba9b0d98,1506,MEDIN Sample,Enquest PLC,geoscientificInformation,,"2012, Enquest PLC, Juniper, Site Survey, DECC Reference Number 2834",,"An oil and gas industry debris clearance, environmental, geotechnical, semi-sub rig site survey acquired under licence P1608 between July and August 2012. The block number traversed was 3/11a.","This dataset was collected by Gardline Geosurvey Ltd on behalf of Enquest Heather Ltd and reported by the licensee through the PON 14 regulation. Data was collected using single beam echo sounder, multibeam echo sounder, side scan sonar, sub bottom profiler, high resolution seismic, grab samples, magenetometer/gradiometer, cone penetrometer, vibrocores and water temperature/salinity measurements.",Y,Exclude - marine,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,
c456de2b-40ed-4f23-86cb-679942ea3310,7517,MEDIN Sample,Marine Current Turbines Ltd,"biota,environment",,"2012, Envision Mapping Ltd., Kyle Rhea, Benthic Video Survey",,The purpose of this survey was to provide detailed seabed habitat and species informationallowing characterisation of the seabed as part of the Kyle Rhea Tidal Array Environmental Impact Assessment (EIA) to support the applications for statutory consents. The characterisation will support an assessment of potential impacts of the proposed development on the seabed environment. The specific objectives of the study were to carry out a video survey to characterise the seabed within the study area (Figure 1) in terms of: ‚Ä¢ Distribution and abundance of marine habitats and communities; ‚Ä¢ Identify habitats or species of conservation importance; and ‚Ä¢ Determine the substrate type at all locations sampled.,Cretaed by The Crown Estate with the purpose of uploading the data on the MArine Data Exchange (MDE),Y,Exclude - marine,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa36fa072df84d67aae58b98be9cbbca,7355,MEDIN Sample,Celtic Array Limited,"environment,geoscientificInformation",,"2012, Reynolds International, Zone 9 Celtic Array, Tidal Correction Processing",,Reynolds International Ltd was appointed by Celtic Array Ltd to provide tidal correction processing of seismic data from the Celtic Array offshore wind farm site in the Irish Sea. This work was completed and the data delivered in September 2012. Dataset Description: Tidal Correction Processing; Centrica Project: Round 3 Irish Sea - Zone 9 Offshore Wind Farm Development; Project Phase: Consenting; Processing Carried Out By: Reynolds International;  Corresponding Centrica Document Title: Tidal correction processing for the Celtic Array. Corresponding Centrica Document No: SE-D-EN-078-0000-000000-002. Available Datasets and supporting documentation: 1.SGY files,"Reynolds International Ltd was appointed by Celtic Array Ltd to provide tidal correction processing of seismic data from the Celtic Array offshore wind farm site in the Irish Sea. This work was completed and the data delivered in September 2012.During subsequent work by RIL on the processed dataset, one seismic line was identified on which the the tidal correction diverged from the bathymetry. Subsequent testing undertaken as part of RIL‚Äôs ongoing QA/QC procedures revealed a further line exhibiting the same problem. Testing was undertaken and the cause of the issue was identified. These lines were two of the largest in the dataset, and there appears to have been a problem with the static processing failing because of this and applying a constant correction instead of the correct values. The two lines were split, reprocessed and re-joined, and it was confirmed that the tidal correction process had completed successfully on both lines.Further information is available in report: SE-D-EN-078-0000-000000-002",Y,Exclude - marine,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21c0658d-20c3-4e24-aa00-e3003157f444,11952,MEDIN Sample,United Kingdom Hydrographic Office,elevation,,20120118 - Isle of Wight - Yarmouth Harbour and River Yar - Bathymetric Survey,,"This processed bathymetric data set has been derived from an Echosounder - single beam survey. The source data was collected, validated and processed for the purpose of Safety Of Life At Sea (SOLAS). The data set must not be used for navigation or to create products that could be used for navigation.",This data set has been derived from an Echosounder - single beam survey which was collected for the purpose of Post Navigational Dredging. The survey has been validated and processed by the UK Hydrographic Office (UKHO).,Y,Exclude - marine,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6a991973-2ec6-47fb-9c19-ce3e68f47e88,13729,MEDIN Sample,United Kingdom Hydrographic Office,elevation,,20120123 - River Mersey - Manchester Ship Canal and Queen Elizabeth Second Dock Entrances - 8m - Bathymetric Survey,,"This processed bathymetric data set has been derived from an Echosounder - multibeam survey. The source data was collected, validated and processed for the purpose of Safety Of Life At Sea (SOLAS). The data set must not be used for navigation or to create products that could be used for navigation.",This data set has been derived from an Echosounder - multibeam survey which was collected for the purpose of 2d Seismic. The survey has been validated and processed by the UK Hydrographic Office (UKHO).,Y,Exclude - marine,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2e69466f-51cd-4d85-bbd4-b12d3d6d89f7,12276,MEDIN Sample,United Kingdom Hydrographic Office,elevation,,20120210 - River Medway - London Thamesport - 5.5m - Bathymetric Survey,,"This processed bathymetric data set has been derived from an Echosounder - multibeam survey. The source data was collected, validated and processed for the purpose of Safety Of Life At Sea (SOLAS). The data set must not be used for navigation or to create products that could be used for navigation.",This data set has been derived from an Echosounder - multibeam survey which was collected for the purpose of Safety of navigation. The survey has been validated and processed by the UK Hydrographic Office (UKHO).,Y,Exclude - marine,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7fd9ef06-a787-442b-b2a2-98f993560751,14252,MEDIN Sample,United Kingdom Hydrographic Office,elevation,,20120221 - Irish Sea - South of Beauforts Dyke - 4m - Bathymetric Survey,,"This processed bathymetric data set has been derived from an Echosounder - multibeam survey. The source data was collected, validated and processed for the purpose of Safety Of Life At Sea (SOLAS). The data set must not be used for navigation or to create products that could be used for navigation.",This data set has been derived from an Echosounder - multibeam survey which was collected for the purpose of Environmental Monitoring. The survey has been validated and processed by the UK Hydrographic Office (UKHO).,Y,Exclude - marine,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0a805391-62e0-4afd-b023-d3db0ec24db9,11380,MEDIN Sample,United Kingdom Hydrographic Office,elevation,,20120305 - HI1363 Block C - Inner Hebrides - Ross of Mull to Jura - 2m - Bathymetric Survey,,"This processed bathymetric data set has been derived from an Echosounder - multibeam survey. The source data was collected, validated and processed for the purpose of Safety Of Life At Sea (SOLAS). The data set must not be used for navigation or to create products that could be used for navigation.","This data set has been derived from an Echosounder - multibeam survey which was collected for the purpose of Safety of navigation, which was collected against S-44 survey specification (of the time). The survey has been validated and processed by the UKHO.",Y,Exclude - marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7324e30b-d600-47e7-acaa-2e5af992447a,13936,MEDIN Sample,United Kingdom Hydrographic Office,elevation,,20120305 - River Mersey - Gladstone Dock Entrance - 1m - Bathymetric Survey,,"This processed bathymetric data set has been derived from an Echosounder - multibeam survey. The source data was collected, validated and processed for the purpose of Safety Of Life At Sea (SOLAS). The data set must not be used for navigation or to create products that could be used for navigation.",This data set has been derived from an Echosounder - multibeam survey which was collected for the purpose of Safety of navigation. The survey has been validated and processed by the UK Hydrographic Office (UKHO).,Y,Exclude - marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6a5eb9d9-3d36-47f8-a659-794d4a5ed11b,13724,MEDIN Sample,United Kingdom Hydrographic Office,elevation,,20120305 - River Mersey - Langton Dock Entrance - 1m - Bathymetric Survey,,"This processed bathymetric data set has been derived from an Echosounder - multibeam survey. The source data was collected, validated and processed for the purpose of Safety Of Life At Sea (SOLAS). The data set must not be used for navigation or to create products that could be used for navigation.",This data set has been derived from an Echosounder - multibeam survey which was collected for the purpose of Safety of navigation. The survey has been validated and processed by the UK Hydrographic Office (UKHO).,Y,Exclude - marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7fc3ee0d-7dae-413f-a6c1-9842b7bb9e74,14248,MEDIN Sample,United Kingdom Hydrographic Office,elevation,,20120325 - Shetland Islands - Mainland - Scalloway Harbour - 1m - Bathymetric Survey,,"This processed bathymetric data set has been derived from an Echosounder - multibeam survey. The source data was collected, validated and processed for the purpose of Safety Of Life At Sea (SOLAS). The data set must not be used for navigation or to create products that could be used for navigation.",This data set has been derived from an Echosounder - multibeam survey which was collected for the purpose of Post Navigational Dredging. The survey has been validated and processed by the UK Hydrographic Office (UKHO).,Y,Exclude - marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c85c3691-d61f-4c09-bf10-453d74cdbbac,16119,MEDIN Sample,United Kingdom Hydrographic Office,elevation,,20120331 - Celtic Sea - South of Celtic Deep - 8m - Bathymetric Survey,,"This processed bathymetric data set has been derived from an Echosounder - multibeam survey. The source data was collected, validated and processed for the purpose of Safety Of Life At Sea (SOLAS). The data set must not be used for navigation or to create products that could be used for navigation.",This data set has been derived from an Echosounder - multibeam survey which was collected for the purpose of Environmental Monitoring. The survey has been validated and processed by the UK Hydrographic Office (UKHO).,Y,Exclude - marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ddd1ec6d-6644-4268-bcbe-c54ad0d27e94,16635,MEDIN Sample,United Kingdom Hydrographic Office,elevation,,20120611 - Liverpool Bay - Queens Channel to Crosby Channel - 1m - Bathymetric Survey,,"This processed bathymetric data set has been derived from an Echosounder - multibeam survey. The source data was collected, validated and processed for the purpose of Safety Of Life At Sea (SOLAS). The data set must not be used for navigation or to create products that could be used for navigation.",This data set has been derived from an Echosounder - multibeam survey which was collected for the purpose of Safety of navigation. The survey has been validated and processed by the UK Hydrographic Office (UKHO).,Y,Exclude - marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0d6a8d9-b3eb-4c17-b2bc-08a997a244dd,15529,MEDIN Sample,United Kingdom Hydrographic Office,elevation,,20120701 - Orford Ness - Aldeburgh Ridge - 2m - Bathymetric Survey,,"This processed bathymetric data set has been derived from an Echosounder - multibeam survey. The source data was collected, validated and processed for the purpose of Safety Of Life At Sea (SOLAS). The data set must not be used for navigation or to create products that could be used for navigation.",This data set has been derived from an Echosounder - multibeam survey which was collected for the purpose of Safety of navigation. The survey has been validated and processed by the UK Hydrographic Office (UKHO).,Y,Exclude - marine,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c0ed2f06-178d-4dc1-bc2a-95ada4308736,15932,MEDIN Sample,United Kingdom Hydrographic Office,elevation,,20120713 - HI1373 Block C - Loch Linnhe - Lynn of Morvern - 8m - Bathymetric Survey,,"This processed bathymetric data set has been derived from an Echosounder - multibeam survey. The source data was collected, validated and processed for the purpose of Safety Of Life At Sea (SOLAS). The data set must not be used for navigation or to create products that could be used for navigation.","This data set has been derived from an Echosounder - multibeam survey which was collected for the purpose of Safety of navigation, which was collected against S-44 survey specification (of the time). The survey has been validated and processed by the UKHO.",Y,Exclude - marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7d3c36e5-01f5-4c80-b604-78be9c029d3f,14172,MEDIN Sample,United Kingdom Hydrographic Office,elevation,,20120726 - Bristol Channel - Porthcawl - Nash Passage - Bathymetric Survey,,"This processed bathymetric data set has been derived from an Echosounder - single beam survey. The source data was collected, validated and processed for the purpose of Safety Of Life At Sea (SOLAS). The data set must not be used for navigation or to create products that could be used for navigation.",This data set has been derived from an Echosounder - single beam survey which was collected for the purpose of Safety of navigation. The survey has been validated and processed by the UK Hydrographic Office (UKHO).,Y,Exclude - marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906fed63-358c-4e50-a421-113bb16410b8,14662,MEDIN Sample,United Kingdom Hydrographic Office,elevation,,20120728 - Plymouth - Sutton Harbour - Bathymetric Survey,,"This processed bathymetric data set has been derived from an Echosounder - single beam survey. The source data was collected, validated and processed for the purpose of Safety Of Life At Sea (SOLAS). The data set must not be used for navigation or to create products that could be used for navigation.",This data set has been derived from an Echosounder - single beam survey which was collected for the purpose of Safety of navigation. The survey has been validated and processed by the UK Hydrographic Office (UKHO).,Y,Exclude - marine,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26141d97-26b6-4da2-a8a6-8b7acd093bdc,12082,MEDIN Sample,United Kingdom Hydrographic Office,elevation,,20120808 - Liverpool Bay - Queens Channel - Taylors Spit to Askew Spit - 1m - Bathymetric Survey,,"This processed bathymetric data set has been derived from an Echosounder - multibeam survey. The source data was collected, validated and processed for the purpose of Safety Of Life At Sea (SOLAS). The data set must not be used for navigation or to create products that could be used for navigation.",This data set has been derived from an Echosounder - multibeam survey which was collected for the purpose of Safety of navigation. The survey has been validated and processed by the UK Hydrographic Office (UKHO).,Y,Exclude - marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32a54e01-9acf-41c5-9f13-6b0c5956a8d9,12372,MEDIN Sample,United Kingdom Hydrographic Office,elevation,,20120813 - HI1408 - Irish Sea - Blackpool - Rossail Point to Crusader Bank - 2m - Bathymetric Survey,,"This processed bathymetric data set has been derived from an Echosounder - multibeam survey. The source data was collected, validated and processed for the purpose of Safety Of Life At Sea (SOLAS). The data set must not be used for navigation or to create products that could be used for navigation.","This data set has been derived from an Echosounder - multibeam survey which was collected for the purpose of Safety of navigation, which was collected against S-44 survey specification (of the time). The survey has been validated and processed by the UKHO.",Y,Exclude - marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2592bd9-ae12-425e-b0c3-205db37503c3,15568,MEDIN Sample,United Kingdom Hydrographic Office,elevation,,20120831 - HI1324 Block 4 - Outer Hebrides - Sound of Barra - 2m - Bathymetric Survey,,"This processed bathymetric data set has been derived from an Echosounder - multibeam survey. The source data was collected, validated and processed for the purpose of Safety Of Life At Sea (SOLAS). The data set must not be used for navigation or to create products that could be used for navigation.","This data set has been derived from an Echosounder - multibeam survey which was collected for the purpose of Safety of navigation, which was collected against S-44 survey specification (of the time). The survey has been validated and processed by the UKHO.",Y,Exclude - marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6beaea9a-1f06-4d2d-922d-b2c39bbbcfeb,13760,MEDIN Sample,United Kingdom Hydrographic Office,elevation,,20120831 - River Mersey - Garston Channel Entrance - 1m - Bathymetric Survey,,"This processed bathymetric data set has been derived from an Echosounder - multibeam survey. The source data was collected, validated and processed for the purpose of Safety Of Life At Sea (SOLAS). The data set must not be used for navigation or to create products that could be used for navigation.",This data set has been derived from an Echosounder - multibeam survey which was collected for the purpose of Safety of navigation. The survey has been validated and processed by the UK Hydrographic Office (UKHO).,Y,Exclude - marine,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79567aff-0690-45de-925c-74c229eb26f2,14075,MEDIN Sample,United Kingdom Hydrographic Office,elevation,,20120905 - HI1404 - English Channel - Lizard Point to Falmouth - 2m - Bathymetric Survey,,"This processed bathymetric data set has been derived from an Echosounder - multibeam survey. The source data was collected, validated and processed for the purpose of Safety Of Life At Sea (SOLAS). The data set must not be used for navigation or to create products that could be used for navigation.","This data set has been derived from an Echosounder - multibeam survey which was collected for the purpose of Safety of navigation, which was collected against S-44 survey specification (of the time). The survey has been validated and processed by the UKHO.",Y,Exclude - marine,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272932eb-9e30-41f8-a161-395f12d179b8,12102,MEDIN Sample,United Kingdom Hydrographic Office,elevation,,20120920 - River Mersey - Bromborough Wall - 1m - Bathymetric Survey,,"This processed bathymetric data set has been derived from an Echosounder - multibeam survey. The source data was collected, validated and processed for the purpose of Safety Of Life At Sea (SOLAS). The data set must not be used for navigation or to create products that could be used for navigation.",This data set has been derived from an Echosounder - multibeam survey which was collected for the purpose of Safety of navigation. The survey has been validated and processed by the UK Hydrographic Office (UKHO).,Y,Exclude - marine,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341561c8-87ea-4f91-8572-5850d3b67383,12414,MEDIN Sample,United Kingdom Hydrographic Office,elevation,,20121026 - HI1362 Block B - Inner Hebrides - Ross of Mull to Rhinns of Islay - 2m - Bathymetric Survey,,"This processed bathymetric data set has been derived from an Echosounder - multibeam survey. The source data was collected, validated and processed for the purpose of Safety Of Life At Sea (SOLAS). The data set must not be used for navigation or to create products that could be used for navigation.","This data set has been derived from an Echosounder - multibeam survey which was collected for the purpose of Safety of navigation, which was collected against S-44 survey specification (of the time). The survey has been validated and processed by the UKHO.",Y,Exclude - marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d7e43827-e30f-411c-9283-864aed5aaad0,16485,MEDIN Sample,United Kingdom Hydrographic Office,elevation,,20121126 - River Mersey - Liverpool Landing Stage - 1m - Bathymetric Survey,,"This processed bathymetric data set has been derived from an Echosounder - multibeam survey. The source data was collected, validated and processed for the purpose of Safety Of Life At Sea (SOLAS). The data set must not be used for navigation or to create products that could be used for navigation.",This data set has been derived from an Echosounder - multibeam survey which was collected for the purpose of Safety of navigation. The survey has been validated and processed by the UK Hydrographic Office (UKHO).,Y,Exclude - marine,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9e4c9b0-5422-4ff9-a07e-4920c40fea3b,15339,MEDIN Sample,United Kingdom Hydrographic Office,elevation,,20121129 - Outer Hebrides - South Uist - Loch Boidale - 2m - Bathymetric Survey,,"This processed bathymetric data set has been derived from an Echosounder - multibeam survey. The source data was collected, validated and processed for the purpose of Safety Of Life At Sea (SOLAS). The data set must not be used for navigation or to create products that could be used for navigation.",This data set has been derived from an Echosounder - multibeam survey which was collected for the purpose of Safety of navigation. The survey has been validated and processed by the UK Hydrographic Office (UKHO).,Y,Exclude - marine,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
